,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,position
0,Shkodran,Mustafi,0,2,43,1205,17,45.5,277.2,155.0,2,242,47.9,4,0,2,0.4,51,Defender
1,HÃ©ctor,BellerÃ­n,1,0,44,1156,18,76.9,187.8,103.0,4,204,37.0,4,0,2,1.0,52,Defender
2,Sead,Kolasinac,0,2,55,1694,26,182.5,269.6,81.0,1,331,53.0,4,0,4,0.5,52,Defender
3,Ainsley,Maitland-Niles,0,2,41,1382,22,182.0,301.8,58.0,3,244,53.6,3,1,4,2.2,45,Defender
4,Sokratis,Papastathopoulos,2,0,57,1696,25,36.8,436.2,110.0,5,305,58.5,4,0,6,1.3,48,Defender
5,Nacho,Monreal,0,0,10,270,4,40.8,47.2,12.0,1,54,10.0,1,0,0,0.2,50,Defender
6,Laurent,Koscielny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,Defender
7,Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,Defender
8,Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Defender
9,Rob,Holding,0,0,16,580,9,4.8,133.6,19.0,2,96,15.8,1,0,1,0.2,44,Defender
10,Pierre-Emerick,Aubameyang,22,5,205,3136,44,479.6,1006.0,1369.0,37,807,285.2,10,1,3,22.4,109,Forward
11,Alexandre,Lacazette,10,7,118,1867,25,337.7,536.4,861.0,16,387,173.8,5,0,8,2.4,92,Forward
12,Edward,Nketiah,2,0,25,628,9,67.0,90.4,210.0,1,66,36.4,3,1,0,1.6,43,Forward
13,Bernd,Leno,0,0,114,2649,39,0.0,843.2,0.0,10,591,84.1,7,0,2,4.2,48,Goalkeeper
14,Mesut,Ãzil,1,3,53,1439,20,582.9,223.6,190.0,1,256,99.8,5,0,1,1.1,69,Midfielder
15,Henrikh,Mkhitaryan,0,0,4,110,0,33.9,5.4,46.0,0,3,8.6,1,0,1,0.7,67,Midfielder
16,Granit,Xhaka,1,2,73,2586,31,298.5,486.2,110.0,2,408,89.9,10,0,10,0.8,51,Midfielder
17,Lucas,Torreira,1,1,46,1501,23,207.1,281.8,207.0,0,247,69.7,3,0,7,1.0,47,Midfielder
18,Mohamed,Elneny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,42,Midfielder
19,Matteo,Guendouzi,0,2,48,1744,31,235.1,333.6,146.0,2,272,71.6,3,0,6,7.1,41,Midfielder
20,David,Luiz Moreira Marinho,2,1,94,2809,42,106.7,701.6,211.0,10,494,102.1,8,2,5,5.1,57,Defender
21,Emiliano,MartÃ­nez,0,0,33,770,9,0.0,256.8,0.0,1,169,25.8,3,0,2,3.8,44,Goalkeeper
22,Calum,Chambers,1,1,42,1102,15,113.5,272.0,203.0,5,197,58.7,3,0,5,0.6,43,Defender
23,Daniel,Ceballos FernÃ¡ndez,0,2,57,1687,21,439.9,346.4,130.0,3,310,91.7,7,0,1,3.0,52,Midfielder
24,CÃ©dric,Soares,1,1,61,1553,20,218.9,349.0,118.0,3,286,68.7,4,0,1,0.4,48,Defender
25,Nicolas,PÃ©pÃ©,5,6,106,2004,30,639.4,500.2,624.0,9,353,176.5,5,0,4,3.0,89,Midfielder
26,Reiss,Nelson,1,1,30,622,7,148.3,110.4,185.0,0,105,44.4,2,0,1,0.1,53,Midfielder
27,Joseph,Willock,1,1,41,838,16,165.9,176.8,212.0,0,150,55.2,1,0,2,0.2,47,Midfielder
28,Gabriel Teodoro,Martinelli Silva,3,1,39,656,9,36.6,162.8,226.0,5,129,42.5,2,0,1,1.8,42,Forward
29,Kieran,Tierney,1,2,42,986,16,121.1,201.8,73.0,4,213,39.8,2,0,2,1.1,53,Defender
30,Bukayo,Saka,1,6,71,1746,18,322.5,327.2,248.0,4,259,89.8,7,0,6,5.7,47,Midfielder
31,Emile,Smith Rowe,0,0,4,96,0,6.3,9.8,0.0,0,13,1.6,1,0,0,0.0,43,Midfielder
32,Tyreece,John-Jules,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,Forward
33,Pablo,MarÃ­,0,0,8,113,0,1.7,27.8,0.0,1,31,3.0,1,0,0,0.0,44,Defender
34,Zech,Medley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Defender
35,Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Goalkeeper
36,Matthew,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Defender
37,Ahmed,El Mohamady,1,1,39,1024,28,324.1,254.6,67.0,7,224,64.6,2,0,1,1.0,41,Defender
38,James,Chester,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42,Defender
39,Neil,Taylor,0,0,22,1088,25,79.7,157.6,29.0,0,163,26.7,2,0,2,0.2,42,Defender
